,opt_name,reason,encoding,proved
598,AndOrXor:2284,undef,partial,yes
599,AndOrXor:2284,undef,qf,yes
600,AndOrXor:2284,values,full,no
601,AndOrXor:2284,values,partial,no
602,AndOrXor:2284,values,qf,no
603,AndOrXor:2285,poison,full,yes
604,AndOrXor:2285,poison,partial,yes
605,AndOrXor:2285,poison,qf,yes
606,AndOrXor:2285,undef,full,yes
607,AndOrXor:2285,undef,partial,yes
608,AndOrXor:2285,undef,qf,yes
609,AndOrXor:2285,values,full,no
610,AndOrXor:2285,values,partial,no
611,AndOrXor:2285,values,qf,no
612,AndOrXor:2297,poison,full,yes
613,AndOrXor:2297,poison,partial,yes
614,AndOrXor:2297,poison,qf,yes
615,AndOrXor:2297,undef,full,yes
616,AndOrXor:2297,undef,partial,yes
617,AndOrXor:2297,undef,qf,yes
618,AndOrXor:2297,values,full,no
619,AndOrXor:2297,values,partial,no
620,AndOrXor:2297,values,qf,no
621,AndOrXor:230,poison,full,yes
622,AndOrXor:230,poison,partial,yes
623,AndOrXor:230,poison,qf,yes
624,AndOrXor:230,undef,full,yes
625,AndOrXor:230,undef,partial,yes
626,AndOrXor:230,undef,qf,yes
627,AndOrXor:230,values,full,no
628,AndOrXor:230,values,partial,no
629,AndOrXor:230,values,qf,no
630,AndOrXor:2367,poison,full,yes
631,AndOrXor:2367,poison,partial,yes
632,AndOrXor:2367,poison,qf,yes
633,AndOrXor:2367,undef,full,yes
634,AndOrXor:2367,undef,partial,yes
635,AndOrXor:2367,undef,qf,yes
636,AndOrXor:2367,values,full,no
637,AndOrXor:2367,values,partial,no
638,AndOrXor:2367,values,qf,no
639,AndOrXor:2416,poison,full,yes
640,AndOrXor:2416,poison,partial,yes
641,AndOrXor:2416,poison,qf,yes
642,AndOrXor:2416,undef,full,yes
643,AndOrXor:2416,undef,partial,yes
644,AndOrXor:2416,undef,qf,yes
645,AndOrXor:2416,values,full,no
646,AndOrXor:2416,values,partial,no
647,AndOrXor:2416,values,qf,no
648,AndOrXor:2417,poison,full,yes
649,AndOrXor:2417,poison,partial,yes
650,AndOrXor:2417,poison,qf,yes
651,AndOrXor:2417,undef,full,yes
652,AndOrXor:2417,undef,partial,yes
653,AndOrXor:2417,undef,qf,yes
654,AndOrXor:2417,values,full,no
655,AndOrXor:2417,values,partial,no
656,AndOrXor:2417,values,qf,no
657,AndOrXor:2429,poison,full,yes
658,AndOrXor:2429,poison,partial,yes
659,AndOrXor:2429,poison,qf,yes
660,AndOrXor:2429,undef,full,yes
661,AndOrXor:2429,undef,partial,yes
662,AndOrXor:2429,undef,qf,yes
663,AndOrXor:2429,values,full,no
664,AndOrXor:2429,values,partial,no
665,AndOrXor:2429,values,qf,no
666,AndOrXor:2430,poison,full,yes
667,AndOrXor:2430,poison,partial,yes
668,AndOrXor:2430,poison,qf,yes
669,AndOrXor:2430,undef,full,yes
670,AndOrXor:2430,undef,partial,yes
671,AndOrXor:2430,undef,qf,yes
672,AndOrXor:2430,values,full,no
673,AndOrXor:2430,values,partial,no
674,AndOrXor:2430,values,qf,no
675,AndOrXor:2443,poison,full,yes
676,AndOrXor:2443,poison,partial,yes
677,AndOrXor:2443,poison,qf,yes
678,AndOrXor:2443,undef,full,yes
679,AndOrXor:2443,undef,partial,yes
680,AndOrXor:2443,undef,qf,yes
681,AndOrXor:2443,values,full,no
682,AndOrXor:2443,values,partial,no
683,AndOrXor:2443,values,qf,no
684,AndOrXor:2453,poison,full,yes
685,AndOrXor:2453,poison,partial,yes
686,AndOrXor:2453,poison,qf,yes
687,AndOrXor:2453,undef,full,yes
688,AndOrXor:2453,undef,partial,yes
689,AndOrXor:2453,undef,qf,yes
690,AndOrXor:2453,values,full,yes
691,AndOrXor:2453,values,partial,yes
692,AndOrXor:2453,values,qf,yes
693,AndOrXor:2475,poison,full,yes
694,AndOrXor:2475,poison,partial,yes
695,AndOrXor:2475,poison,qf,yes
696,AndOrXor:2475,undef,full,yes
697,AndOrXor:2475,undef,partial,yes
698,AndOrXor:2475,undef,qf,yes
699,AndOrXor:2475,values,full,no
700,AndOrXor:2475,values,partial,no
701,AndOrXor:2475,values,qf,no
702,AndOrXor:2486,poison,full,yes
703,AndOrXor:2486,poison,partial,yes
