index,path,err_log,config,filename,encoding,filename_clean,filename_cleaner,opt_name,family,reason,status,result,seconds,proved
47,cvc4_tplanes_saturate_no_e_matching/partial-partial_Select:704_values_0.smt2,"out of time,no result,1800",cvc4_tplanes_saturate_no_e_matching,partial-partial_Select:704_values_0.smt2,partial,partial_Select:704_values_0.smt2,Select:704_values_0.smt2,Select:704,Select,values,out of time,no result,1800,no
48,cvc4_tplanes_saturate_no_e_matching/partial-partial_AddSub:1564_poison_16.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,partial-partial_AddSub:1564_poison_16.smt2,partial,partial_AddSub:1564_poison_16.smt2,AddSub:1564_poison_16.smt2,AddSub:1564,AddSub,poison,ok,unsat,0,yes
49,cvc4_tplanes_saturate_no_e_matching/qf-qf_Select:746_poison_5.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,qf-qf_Select:746_poison_5.smt2,qf,qf_Select:746_poison_5.smt2,Select:746_poison_5.smt2,Select:746,Select,poison,ok,unsat,0,yes
50,cvc4_tplanes_saturate_no_e_matching/qf-qf_AndOrXor:1683-2_values_72.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,qf-qf_AndOrXor:1683-2_values_72.smt2,qf,qf_AndOrXor:1683-2_values_72.smt2,AndOrXor:1683-2_values_72.smt2,AndOrXor:1683-2,AndOrXor,values,ok,unsat,0,yes
51,cvc4_tplanes_saturate_no_e_matching/combined-combined_AndOrXor:2284_undef_63.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,combined-combined_AndOrXor:2284_undef_63.smt2,combined,combined_AndOrXor:2284_undef_63.smt2,AndOrXor:2284_undef_63.smt2,AndOrXor:2284,AndOrXor,undef,ok,unsat,0,yes
52,cvc4_tplanes_saturate_no_e_matching/qf-qf_AndOrXor:1979_undef_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,qf-qf_AndOrXor:1979_undef_0.smt2,qf,qf_AndOrXor:1979_undef_0.smt2,AndOrXor:1979_undef_0.smt2,AndOrXor:1979,AndOrXor,undef,ok,unsat,0,yes
53,cvc4_tplanes_saturate_no_e_matching/partial-partial_Select:746_values_0.smt2,"out of memory,no result,1141",cvc4_tplanes_saturate_no_e_matching,partial-partial_Select:746_values_0.smt2,partial,partial_Select:746_values_0.smt2,Select:746_values_0.smt2,Select:746,Select,values,out of memory,no result,1141,no
54,cvc4_tplanes_saturate_no_e_matching/partial-partial_AndOrXor:2417_poison_40.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,partial-partial_AndOrXor:2417_poison_40.smt2,partial,partial_AndOrXor:2417_poison_40.smt2,AndOrXor:2417_poison_40.smt2,AndOrXor:2417,AndOrXor,poison,ok,unsat,0,yes
55,cvc4_tplanes_saturate_no_e_matching/combined-combined_AndOrXor:2658_values_0.smt2,"signal(9),no result,1764",cvc4_tplanes_saturate_no_e_matching,combined-combined_AndOrXor:2658_values_0.smt2,combined,combined_AndOrXor:2658_values_0.smt2,AndOrXor:2658_values_0.smt2,AndOrXor:2658,AndOrXor,values,signal(9),no result,1764,no
56,cvc4_tplanes_saturate_no_e_matching/qf-qf_AndOrXor:1899_undef_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,qf-qf_AndOrXor:1899_undef_0.smt2,qf,qf_AndOrXor:1899_undef_0.smt2,AndOrXor:1899_undef_0.smt2,AndOrXor:1899,AndOrXor,undef,ok,unsat,0,yes
57,cvc4_tplanes_saturate_no_e_matching/full-full_AndOrXor:2264_poison_32.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,full-full_AndOrXor:2264_poison_32.smt2,full,full_AndOrXor:2264_poison_32.smt2,AndOrXor:2264_poison_32.smt2,AndOrXor:2264,AndOrXor,poison,ok,unsat,0,yes
58,cvc4_tplanes_saturate_no_e_matching/qf-qf_Select:576a_values_0.smt2,"ok,sat,0",cvc4_tplanes_saturate_no_e_matching,qf-qf_Select:576a_values_0.smt2,qf,qf_Select:576a_values_0.smt2,Select:576a_values_0.smt2,Select:576a,Select,values,ok,sat,0,no
59,cvc4_tplanes_saturate_no_e_matching/full-full_InstCombineShift440_poison_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,full-full_InstCombineShift440_poison_0.smt2,full,full_InstCombineShift440_poison_0.smt2,InstCombineShift440_poison_0.smt2,InstCombineShift440,Shifts,poison,ok,unsat,0,yes
60,cvc4_tplanes_saturate_no_e_matching/combined-combined_AndOrXor:1828_poison_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,combined-combined_AndOrXor:1828_poison_0.smt2,combined,combined_AndOrXor:1828_poison_0.smt2,AndOrXor:1828_poison_0.smt2,AndOrXor:1828,AndOrXor,poison,ok,unsat,0,yes
61,cvc4_tplanes_saturate_no_e_matching/qf-qf_AndOrXor:1280_undef_38.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,qf-qf_AndOrXor:1280_undef_38.smt2,qf,qf_AndOrXor:1280_undef_38.smt2,AndOrXor:1280_undef_38.smt2,AndOrXor:1280,AndOrXor,undef,ok,unsat,0,yes
62,cvc4_tplanes_saturate_no_e_matching/partial-partial_AndOrXor:931_values_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,partial-partial_AndOrXor:931_values_0.smt2,partial,partial_AndOrXor:931_values_0.smt2,AndOrXor:931_values_0.smt2,AndOrXor:931,AndOrXor,values,ok,unsat,0,yes
63,cvc4_tplanes_saturate_no_e_matching/full-full_AndOrXor:210_undef_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,full-full_AndOrXor:210_undef_0.smt2,full,full_AndOrXor:210_undef_0.smt2,AndOrXor:210_undef_0.smt2,AndOrXor:210,AndOrXor,undef,ok,unsat,0,yes
64,cvc4_tplanes_saturate_no_e_matching/qf-qf_AndOrXor:732-1_undef_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,qf-qf_AndOrXor:732-1_undef_0.smt2,qf,qf_AndOrXor:732-1_undef_0.smt2,AndOrXor:732-1_undef_0.smt2,AndOrXor:732-1,AndOrXor,undef,ok,unsat,0,yes
65,cvc4_tplanes_saturate_no_e_matching/combined-combined_AndOrXor:230_undef_0.smt2,"ok,unsat,0",cvc4_tplanes_saturate_no_e_matching,combined-combined_AndOrXor:230_undef_0.smt2,combined,combined_AndOrXor:230_undef_0.smt2,AndOrXor:230_undef_0.smt2,AndOrXor:230,AndOrXor,undef,ok,unsat,0,yes
