,opt_name,reason,proved
353,AndOrXor:794,values,yes
354,AndOrXor:819,poison,yes
355,AndOrXor:819,undef,yes
356,AndOrXor:819,values,no
357,AndOrXor:827,poison,yes
358,AndOrXor:827,undef,yes
359,AndOrXor:827,values,yes
360,AndOrXor:887-1,poison,yes
361,AndOrXor:887-1,undef,yes
362,AndOrXor:887-1,values,yes
363,AndOrXor:887-2,poison,yes
364,AndOrXor:887-2,undef,yes
365,AndOrXor:887-2,values,yes
366,AndOrXor:922,poison,yes
367,AndOrXor:922,undef,yes
368,AndOrXor:922,values,yes
369,AndOrXor:923,poison,yes
370,AndOrXor:923,undef,yes
371,AndOrXor:923,values,yes
372,AndOrXor:924,poison,yes
373,AndOrXor:924,undef,yes
374,AndOrXor:924,values,yes
375,AndOrXor:931,poison,yes
376,AndOrXor:931,undef,yes
377,AndOrXor:931,values,yes
378,AndOrXor:937,poison,yes
379,AndOrXor:937,undef,yes
380,AndOrXor:937,values,yes
381,AndOrXor:940,poison,yes
382,AndOrXor:940,undef,yes
383,AndOrXor:940,values,yes
384,AndOrXor:941,poison,yes
385,AndOrXor:941,undef,yes
386,AndOrXor:941,values,yes
387,AndOrXor:942,poison,yes
388,AndOrXor:942,undef,yes
389,AndOrXor:942,values,yes
390,AndOrXor:949,poison,yes
391,AndOrXor:949,undef,yes
392,AndOrXor:949,values,yes
393,AndOrXor:961,poison,yes
394,AndOrXor:961,undef,yes
395,AndOrXor:961,values,yes
396,AndOrXor:962,poison,yes
397,AndOrXor:962,undef,yes
398,AndOrXor:962,values,yes
399,AndOrXor:966,poison,yes
400,AndOrXor:966,undef,yes
401,AndOrXor:966,values,yes
402,AndOrXor:967,poison,yes
403,AndOrXor:967,undef,yes
404,AndOrXor:967,values,yes
405,AndOrXor:978,poison,yes
406,AndOrXor:978,undef,yes
407,AndOrXor:978,values,yes
408,AndOrXor:979,poison,yes
409,AndOrXor:979,undef,yes
410,AndOrXor:979,values,yes
411,AndOrXor:988,poison,yes
412,AndOrXor:988,undef,yes
413,AndOrXor:988,values,yes
414,AndOrXor:989,poison,yes
415,AndOrXor:989,undef,yes
416,AndOrXor:989,values,yes
417,AndOrXor:994,poison,yes
418,AndOrXor:994,undef,yes
419,AndOrXor:994,values,yes
420,InstCombineShift239,poison,yes
421,InstCombineShift239,undef,yes
422,InstCombineShift239,values,no
423,InstCombineShift279,poison,yes
424,InstCombineShift279,undef,yes
425,InstCombineShift279,values,no
426,InstCombineShift440,poison,yes
427,InstCombineShift440,undef,yes
428,InstCombineShift440,values,no
429,InstCombineShift476,poison,yes
430,InstCombineShift476,undef,yes
431,InstCombineShift476,values,no
432,InstCombineShift497a,poison,yes
