,encoding,opt_name,reason,proved
564,partial,AndOrXor:135,poison,yes
565,partial,AndOrXor:135,undef,yes
566,partial,AndOrXor:135,values,no
567,partial,AndOrXor:144,poison,yes
568,partial,AndOrXor:144,undef,yes
569,partial,AndOrXor:144,values,no
570,partial,AndOrXor:151,poison,yes
571,partial,AndOrXor:151,undef,yes
572,partial,AndOrXor:151,values,no
573,partial,AndOrXor:1683-1,poison,yes
574,partial,AndOrXor:1683-1,undef,yes
575,partial,AndOrXor:1683-1,values,yes
576,partial,AndOrXor:1683-2,poison,yes
577,partial,AndOrXor:1683-2,undef,yes
578,partial,AndOrXor:1683-2,values,yes
579,partial,AndOrXor:1704,poison,yes
580,partial,AndOrXor:1704,undef,yes
581,partial,AndOrXor:1704,values,yes
582,partial,AndOrXor:1705,poison,yes
583,partial,AndOrXor:1705,undef,yes
584,partial,AndOrXor:1705,values,yes
585,partial,AndOrXor:1733,poison,yes
586,partial,AndOrXor:1733,undef,yes
587,partial,AndOrXor:1733,values,no
588,partial,AndOrXor:1740,poison,yes
589,partial,AndOrXor:1740,undef,yes
590,partial,AndOrXor:1740,values,yes
591,partial,AndOrXor:1795,poison,yes
592,partial,AndOrXor:1795,undef,yes
593,partial,AndOrXor:1795,values,no
594,partial,AndOrXor:1818,poison,yes
595,partial,AndOrXor:1818,undef,yes
596,partial,AndOrXor:1818,values,yes
597,partial,AndOrXor:1819,poison,yes
598,partial,AndOrXor:1819,undef,yes
599,partial,AndOrXor:1819,values,yes
600,partial,AndOrXor:1820,poison,yes
601,partial,AndOrXor:1820,undef,yes
602,partial,AndOrXor:1820,values,yes
603,partial,AndOrXor:1827,poison,yes
604,partial,AndOrXor:1827,undef,yes
605,partial,AndOrXor:1827,values,yes
606,partial,AndOrXor:1828,poison,yes
607,partial,AndOrXor:1828,undef,yes
608,partial,AndOrXor:1828,values,yes
609,partial,AndOrXor:1829,poison,yes
610,partial,AndOrXor:1829,undef,yes
611,partial,AndOrXor:1829,values,yes
612,partial,AndOrXor:1831,poison,yes
613,partial,AndOrXor:1831,undef,yes
614,partial,AndOrXor:1831,values,yes
615,partial,AndOrXor:1832,poison,yes
616,partial,AndOrXor:1832,undef,yes
617,partial,AndOrXor:1832,values,yes
618,partial,AndOrXor:1833,poison,yes
619,partial,AndOrXor:1833,undef,yes
620,partial,AndOrXor:1833,values,yes
621,partial,AndOrXor:1844,poison,yes
622,partial,AndOrXor:1844,undef,yes
623,partial,AndOrXor:1844,values,yes
624,partial,AndOrXor:1849,poison,yes
