,encoding,config,opt_name,reason,proved
288,ahmed,cvc4,AndOrXor:2658,poison,yes
289,ahmed,cvc4,AndOrXor:2658,undef,yes
290,ahmed,cvc4,AndOrXor:2658,values,no
291,ahmed,cvc4,AndOrXor:2663,poison,yes
292,ahmed,cvc4,AndOrXor:2663,undef,yes
293,ahmed,cvc4,AndOrXor:2663,values,yes
294,ahmed,cvc4,AndOrXor:270,poison,yes
295,ahmed,cvc4,AndOrXor:270,undef,yes
296,ahmed,cvc4,AndOrXor:270,values,yes
297,ahmed,cvc4,AndOrXor:273,poison,yes
298,ahmed,cvc4,AndOrXor:273,undef,yes
299,ahmed,cvc4,AndOrXor:273,values,no
300,ahmed,cvc4,AndOrXor:280,poison,yes
301,ahmed,cvc4,AndOrXor:280,undef,yes
302,ahmed,cvc4,AndOrXor:280,values,no
303,ahmed,cvc4,AndOrXor:287,poison,yes
304,ahmed,cvc4,AndOrXor:287,undef,yes
305,ahmed,cvc4,AndOrXor:287,values,yes
306,ahmed,cvc4,AndOrXor:290,poison,yes
307,ahmed,cvc4,AndOrXor:290,undef,yes
308,ahmed,cvc4,AndOrXor:290,values,no
309,ahmed,cvc4,AndOrXor:298,poison,yes
310,ahmed,cvc4,AndOrXor:298,undef,yes
311,ahmed,cvc4,AndOrXor:298,values,no
312,ahmed,cvc4,AndOrXor:363,poison,yes
313,ahmed,cvc4,AndOrXor:363,undef,yes
314,ahmed,cvc4,AndOrXor:363,values,no
315,ahmed,cvc4,AndOrXor:364,poison,yes
316,ahmed,cvc4,AndOrXor:364,undef,yes
317,ahmed,cvc4,AndOrXor:364,values,no
318,ahmed,cvc4,AndOrXor:516,poison,yes
319,ahmed,cvc4,AndOrXor:516,undef,yes
320,ahmed,cvc4,AndOrXor:516,values,no
321,ahmed,cvc4,AndOrXor:523,poison,yes
322,ahmed,cvc4,AndOrXor:523,undef,yes
323,ahmed,cvc4,AndOrXor:523,values,no
324,ahmed,cvc4,AndOrXor:530,poison,yes
325,ahmed,cvc4,AndOrXor:530,undef,yes
326,ahmed,cvc4,AndOrXor:530,values,no
327,ahmed,cvc4,AndOrXor:537,poison,yes
328,ahmed,cvc4,AndOrXor:537,undef,yes
329,ahmed,cvc4,AndOrXor:537,values,no
330,ahmed,cvc4,AndOrXor:698,poison,yes
331,ahmed,cvc4,AndOrXor:698,undef,yes
332,ahmed,cvc4,AndOrXor:698,values,no
333,ahmed,cvc4,AndOrXor:709,poison,yes
334,ahmed,cvc4,AndOrXor:709,undef,yes
335,ahmed,cvc4,AndOrXor:709,values,no
336,ahmed,cvc4,AndOrXor:716,poison,yes
337,ahmed,cvc4,AndOrXor:716,undef,yes
338,ahmed,cvc4,AndOrXor:716,values,no
339,ahmed,cvc4,AndOrXor:732-1,poison,yes
340,ahmed,cvc4,AndOrXor:732-1,undef,yes
341,ahmed,cvc4,AndOrXor:732-1,values,no
342,ahmed,cvc4,AndOrXor:732-2,poison,yes
343,ahmed,cvc4,AndOrXor:732-2,undef,yes
344,ahmed,cvc4,AndOrXor:732-2,values,no
345,ahmed,cvc4,AndOrXor:745,poison,yes
346,ahmed,cvc4,AndOrXor:745,undef,yes
347,ahmed,cvc4,AndOrXor:745,values,no
348,ahmed,cvc4,AndOrXor:757,poison,yes
349,ahmed,cvc4,AndOrXor:757,undef,yes
350,ahmed,cvc4,AndOrXor:757,values,no
351,ahmed,cvc4,AndOrXor:794,poison,yes
352,ahmed,cvc4,AndOrXor:794,undef,yes
353,ahmed,cvc4,AndOrXor:794,values,yes
354,ahmed,cvc4,AndOrXor:819,poison,yes
355,ahmed,cvc4,AndOrXor:819,undef,yes
356,ahmed,cvc4,AndOrXor:819,values,no
357,ahmed,cvc4,AndOrXor:827,poison,yes
358,ahmed,cvc4,AndOrXor:827,undef,yes
359,ahmed,cvc4,AndOrXor:827,values,yes
360,ahmed,cvc4,AndOrXor:887-1,poison,yes
361,ahmed,cvc4,AndOrXor:887-1,undef,yes
362,ahmed,cvc4,AndOrXor:887-1,values,yes
363,ahmed,cvc4,AndOrXor:887-2,poison,yes
364,ahmed,cvc4,AndOrXor:887-2,undef,yes
365,ahmed,cvc4,AndOrXor:887-2,values,yes
366,ahmed,cvc4,AndOrXor:922,poison,yes
367,ahmed,cvc4,AndOrXor:922,undef,yes
368,ahmed,cvc4,AndOrXor:922,values,yes
369,ahmed,cvc4,AndOrXor:923,poison,yes
370,ahmed,cvc4,AndOrXor:923,undef,yes
371,ahmed,cvc4,AndOrXor:923,values,yes
372,ahmed,cvc4,AndOrXor:924,poison,yes
373,ahmed,cvc4,AndOrXor:924,undef,yes
374,ahmed,cvc4,AndOrXor:924,values,yes
375,ahmed,cvc4,AndOrXor:931,poison,yes
376,ahmed,cvc4,AndOrXor:931,undef,yes
377,ahmed,cvc4,AndOrXor:931,values,no
378,ahmed,cvc4,AndOrXor:937,poison,yes
379,ahmed,cvc4,AndOrXor:937,undef,yes
380,ahmed,cvc4,AndOrXor:937,values,no
381,ahmed,cvc4,AndOrXor:940,poison,yes
382,ahmed,cvc4,AndOrXor:940,undef,yes
383,ahmed,cvc4,AndOrXor:940,values,yes
384,ahmed,cvc4,AndOrXor:941,poison,yes
385,ahmed,cvc4,AndOrXor:941,undef,yes
386,ahmed,cvc4,AndOrXor:941,values,yes
387,ahmed,cvc4,AndOrXor:942,poison,yes
388,ahmed,cvc4,AndOrXor:942,undef,yes
389,ahmed,cvc4,AndOrXor:942,values,yes
390,ahmed,cvc4,AndOrXor:949,poison,yes
391,ahmed,cvc4,AndOrXor:949,undef,yes
392,ahmed,cvc4,AndOrXor:949,values,no
393,ahmed,cvc4,AndOrXor:961,poison,yes
394,ahmed,cvc4,AndOrXor:961,undef,yes
395,ahmed,cvc4,AndOrXor:961,values,yes
396,ahmed,cvc4,AndOrXor:962,poison,yes
397,ahmed,cvc4,AndOrXor:962,undef,yes
398,ahmed,cvc4,AndOrXor:962,values,yes
399,ahmed,cvc4,AndOrXor:966,poison,yes
400,ahmed,cvc4,AndOrXor:966,undef,yes
401,ahmed,cvc4,AndOrXor:966,values,yes
402,ahmed,cvc4,AndOrXor:967,poison,yes
403,ahmed,cvc4,AndOrXor:967,undef,yes
404,ahmed,cvc4,AndOrXor:967,values,yes
405,ahmed,cvc4,AndOrXor:978,poison,yes
406,ahmed,cvc4,AndOrXor:978,undef,yes
407,ahmed,cvc4,AndOrXor:978,values,yes
408,ahmed,cvc4,AndOrXor:979,poison,yes
409,ahmed,cvc4,AndOrXor:979,undef,yes
410,ahmed,cvc4,AndOrXor:979,values,yes
411,ahmed,cvc4,AndOrXor:988,poison,yes
412,ahmed,cvc4,AndOrXor:988,undef,yes
413,ahmed,cvc4,AndOrXor:988,values,yes
414,ahmed,cvc4,AndOrXor:989,poison,yes
415,ahmed,cvc4,AndOrXor:989,undef,yes
416,ahmed,cvc4,AndOrXor:989,values,yes
417,ahmed,cvc4,AndOrXor:994,poison,yes
418,ahmed,cvc4,AndOrXor:994,undef,yes
419,ahmed,cvc4,AndOrXor:994,values,yes
420,ahmed,cvc4,InstCombineShift239,poison,yes
421,ahmed,cvc4,InstCombineShift239,undef,yes
422,ahmed,cvc4,InstCombineShift239,values,no
423,ahmed,cvc4,InstCombineShift279,poison,yes
424,ahmed,cvc4,InstCombineShift279,undef,yes
425,ahmed,cvc4,InstCombineShift279,values,no
426,ahmed,cvc4,InstCombineShift440,poison,yes
427,ahmed,cvc4,InstCombineShift440,undef,yes
428,ahmed,cvc4,InstCombineShift440,values,no
429,ahmed,cvc4,InstCombineShift476,poison,yes
430,ahmed,cvc4,InstCombineShift476,undef,yes
431,ahmed,cvc4,InstCombineShift476,values,no
432,ahmed,cvc4,InstCombineShift497a,poison,yes
433,ahmed,cvc4,InstCombineShift497a,undef,yes
434,ahmed,cvc4,InstCombineShift497a,values,no
435,ahmed,cvc4,InstCombineShift497b,poison,yes
436,ahmed,cvc4,InstCombineShift497b,undef,yes
437,ahmed,cvc4,InstCombineShift497b,values,no
438,ahmed,cvc4,InstCombineShift497c,poison,yes
439,ahmed,cvc4,InstCombineShift497c,undef,yes
440,ahmed,cvc4,InstCombineShift497c,values,no
441,ahmed,cvc4,InstCombineShift497d,poison,yes
442,ahmed,cvc4,InstCombineShift497d,undef,yes
443,ahmed,cvc4,InstCombineShift497d,values,no
444,ahmed,cvc4,InstCombineShift582,poison,yes
445,ahmed,cvc4,InstCombineShift582,undef,yes
446,ahmed,cvc4,InstCombineShift582,values,no
447,ahmed,cvc4,Select:1100,poison,yes
448,ahmed,cvc4,Select:1100,undef,yes
449,ahmed,cvc4,Select:1100,values,yes
450,ahmed,cvc4,Select:1105,poison,yes
451,ahmed,cvc4,Select:1105,undef,yes
452,ahmed,cvc4,Select:1105,values,yes
453,ahmed,cvc4,Select:420,poison,yes
454,ahmed,cvc4,Select:420,undef,yes
455,ahmed,cvc4,Select:420,values,no
456,ahmed,cvc4,Select:423,poison,yes
457,ahmed,cvc4,Select:423,undef,yes
