filename,cvc4,cvc4 --nl-ext-tplanes,cvc4 --nl-ext-tplanes --fmf-fun-rlv,cvc4 --nl-ext-tplanes --cbqi-all,cvc4 --cbqi-all,cvc4 --fmf-fun-rlv,z3
rec_AndOrXor:1819_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:923_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1870_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:887-1_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1176_undef_33.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1829_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:709_undef_5.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:794_values_120.smt2,timeout,timeout,timeout,timeout,timeout,timeout,unsat
rec_AndOrXor:1683-2_values_126.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:280_values_5.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:537_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:287_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1164_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AddSub:1624_poison_49.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1880_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:941_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1833_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1828_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:949_undef_7.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_muldivrem:229_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:988_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:941_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:978_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:2367_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:732-2_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:940_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AddSub:1165_undef_9.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:966_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:2160_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:827_poison_15.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:144_poison_10.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:2263_undef_31.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:827_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:994_values_0.smt2,timeout,timeout,timeout,timeout,timeout,timeout,timeout
rec_AndOrXor:931_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1869_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
rec_AndOrXor:1012_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
