filename,cvc4,cvc4 --nl-ext-tplanes,cvc4 --nl-ext-tplanes --fmf-fun-rlv,cvc4 --nl-ext-tplanes --cbqi-all,cvc4 --cbqi-all,cvc4 --fmf-fun-rlv,z3
full_AndOrXor:819_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:1894_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2285_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:2416_undef_13.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2285_undef_32.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1624_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:716_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:2430_undef_19.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2658_undef_56.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_InstCombineShift497a_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2595_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AddSub:1165_undef_9.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1850_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1202_poison_62.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1880_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:364_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1827_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:273_poison_7.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:962_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1288_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:1829_values_0.smt2,unknown,unsat,timeout,unsat,timeout,timeout,unsat
full_AndOrXor:994_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1870_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1894_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:698_undef_1.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:979_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1818_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:941_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:144_poison_10.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2243_poison_14.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1869_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_InstCombineShift239_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1604_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:537_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2264_undef_5.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2285_poison_51.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:523_poison_10.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:923_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:151_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:994_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1165_values_0.smt2,unsat,unsat,timeout,unsat,unsat,timeout,timeout
full_AndOrXor:1885_values_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1705_poison_21.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1295_poison_4.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:363_undef_6.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:924_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2663_poison_5.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:794_undef_35.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2263_poison_51.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AddSub:1599_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:819_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2416_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:1820_poison_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2430_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AndOrXor:887-1_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2617_poison_62.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:966_undef_0.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:2264_values_0.smt2,unknown,unknown,timeout,timeout,timeout,timeout,timeout
full_AddSub:1295_undef_19.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
full_AndOrXor:1683-1_undef_90.smt2,unsat,unsat,unsat,unsat,unsat,unsat,unsat
